chain,spiritCode,name_en,brand_en,regionCode,countryCode,city_en,address1_en,latitude,longitude,propertySiteURL_en,rateDataAvailable,approxAnnualAverageRateLocal,approxAnnualAverageRateCurrency,approxAnnualAverageRateBasis,approxAnnualAverageRateSampleCount,currentOfficialLeadRateLocal,currentOfficialLeadRateFmt,currentOfficialLeadRatePlanCode,currentOfficialLeadRatePlanName,rateDataCaveat
IHG Hotels & Resorts,IHG-HKGLR,Crowne Plaza Hong Kong Causeway Bay,Crowne Plaza,HK,HK,Hong Kong,"No.8 Leighton Road,Causeway Bay, Hong Kong, Hong Kong",22.276892,114.18252,https://www.ihg.com/crowneplaza/hotels/us/en/hong-kong/hkglr/hoteldetail,false,,HKD,not_available_from_current_official_public_source,0,,,,,"IHG public destination pages expose Check Rates links, but no concrete amount in the page JSON-LD/list source."
IHG Hotels & Resorts,IHG-HKGCW,Holiday Inn Express Hong Kong Causeway Bay,Holiday Inn Express,HK,HK,Hong Kong,"No.33 Sharp Street East Causeway Bay, Hong Kong, Hong Kong",22.277838,114.18209,https://www.ihg.com/holidayinnexpress/hotels/us/en/hong-kong/hkgcw/hoteldetail,false,,HKD,not_available_from_current_official_public_source,0,,,,,"IHG public destination pages expose Check Rates links, but no concrete amount in the page JSON-LD/list source."
IHG Hotels & Resorts,IHG-HKGKK,Holiday Inn Express Hong Kong Kowloon CBD2,Holiday Inn Express,HK,HK,Hong Kong,"97 How Ming Street Kwun Tong, Kowloon, Hong Kong, Hong Kong",22.31275,114.22305,https://www.ihg.com/holidayinnexpress/hotels/us/en/hong-kong/hkgkk/hoteldetail,false,,HKD,not_available_from_current_official_public_source,0,,,,,"IHG public destination pages expose Check Rates links, but no concrete amount in the page JSON-LD/list source."
IHG Hotels & Resorts,IHG-HKGMK,Holiday Inn Express Hong Kong Mongkok,Holiday Inn Express,HK,HK,Hong Kong,"No.1 Dundas Street, Mongkok, Hong Kong, Hong Kong",22.314863,114.16727,https://www.ihg.com/holidayinnexpress/hotels/us/en/hong-kong/hkgmk/hoteldetail,false,,HKD,not_available_from_current_official_public_source,0,,,,,"IHG public destination pages expose Check Rates links, but no concrete amount in the page JSON-LD/list source."
IHG Hotels & Resorts,IHG-HKGKL,Holiday Inn Golden Mile Hong Kong,Holiday Inn,HK,HK,Hong Kong,"50 Nathan Road,Tsimshatsui, Kowloon, Hong Kong, Hong Kong",22.29677,114.17265,https://www.ihg.com/holidayinn/hotels/us/en/hong-kong/hkgkl/hoteldetail,false,,HKD,not_available_from_current_official_public_source,0,,,,,"IHG public destination pages expose Check Rates links, but no concrete amount in the page JSON-LD/list source."
IHG Hotels & Resorts,IHG-HKGIN,Hotel Indigo Hong Kong Island,Hotel Indigo,HK,HK,Hong Kong,"No. 246 Queen's Road East, Wanchai, Hong Kong, Hong Kong",22.274515,114.17324,https://www.ihg.com/hotelindigo/hotels/us/en/hong-kong/hkgin/hoteldetail,false,,HKD,not_available_from_current_official_public_source,0,,,,,"IHG public destination pages expose Check Rates links, but no concrete amount in the page JSON-LD/list source."
IHG Hotels & Resorts,IHG-HKGHB,InterContinental Grand Stanford Hong Kong,InterContinental,HK,HK,Hong Kong,"No. 70 Mody Road, Tsimshatsui East, Kowloon, Hong Kong, Hong Kong",22.299494,114.17928,https://www.ihg.com/intercontinental/hotels/us/en/hong-kong/hkghb/hoteldetail,false,,HKD,not_available_from_current_official_public_source,0,,,,,"IHG public destination pages expose Check Rates links, but no concrete amount in the page JSON-LD/list source."
IHG Hotels & Resorts,IHG-HKGKH,Kimpton Tsim Sha Tsui Hong Kong,Kimpton,HK,HK,Hong Kong,"11 Middle Road, Tsim Sha Tsui, Kowloon, Hong Kong, Hong Kong",22.29585,114.17368,https://www.ihg.com/kimptonhotels/hotels/us/en/hong-kong/hkgkh/hoteldetail,false,,HKD,not_available_from_current_official_public_source,0,,,,,"IHG public destination pages expose Check Rates links, but no concrete amount in the page JSON-LD/list source."
IHG Hotels & Resorts,IHG-HKGHC,Regent Hong Kong,Regent,HK,HK,Hong Kong,"18 Salisbury Road, Kowloon, Hong Kong, Hong Kong",22.29347,114.1741,https://www.ihg.com/regent/hotels/us/en/hong-kong/hkghc/hoteldetail,false,,HKD,not_available_from_current_official_public_source,0,,,,,"IHG public destination pages expose Check Rates links, but no concrete amount in the page JSON-LD/list source."
IHG Hotels & Resorts,IHG-HKGSK,Vignette Collection WM Hotel Hong Kong,Vignette Collection,HK,HK,Hong Kong,"28 Wai Man Road, Sai Kung, New Territories, Hong Kong, Hong Kong",22.385523,114.275536,https://www.ihg.com/vignettecollection/hotels/us/en/sai-kung/hkgsk/hoteldetail,false,,HKD,not_available_from_current_official_public_source,0,,,,,"IHG public destination pages expose Check Rates links, but no concrete amount in the page JSON-LD/list source."
IHG Hotels & Resorts,IHG-AKUKH,Holiday Inn Express Aksu,Holiday Inn Express,MAINLAND_CN,CN,Aksu,"No.8 Jianshe Road, Aksu, Xinjiang, 843000, Mainland China",41.17886,80.291214,https://www.ihg.com/holidayinnexpress/hotels/us/en/aksu/akukh/hoteldetail,false,,CNY,not_available_from_current_official_public_source,0,,,,,"IHG public destination pages expose Check Rates links, but no concrete amount in the page JSON-LD/list source."
IHG Hotels & Resorts,IHG-BAVXC,Holiday Inn Resort Kanas Hemu,Holiday Inn Resort,MAINLAND_CN,CN,Altay,"East of Jikepulin District, Hemu Township, Altay, Xinjiang, 836600, Mainland China",48.591667,87.568436,https://www.ihg.com/holidayinnresorts/hotels/us/en/xinjiang/bavxc/hoteldetail,false,,CNY,not_available_from_current_official_public_source,0,,,,,"IHG public destination pages expose Check Rates links, but no concrete amount in the page JSON-LD/list source."
IHG Hotels & Resorts,IHG-KJIKA,Hotel Indigo Kanas Hemu,Hotel Indigo,MAINLAND_CN,CN,Altay,"Altay area Kanas scenic area, Altay, Xinjiang, 836600, Mainland China",48.573017,87.52223,https://www.ihg.com/hotelindigo/hotels/us/en/xinjiang/kjika/hoteldetail,false,,CNY,not_available_from_current_official_public_source,0,,,,,"IHG public destination pages expose Check Rates links, but no concrete amount in the page JSON-LD/list source."
IHG Hotels & Resorts,IHG-HGHAJ,Hotel Indigo Anji,Hotel Indigo,MAINLAND_CN,CN,Anji,"No.188 Wanzhang Road, Lingfeng Scenic Area, Anji, Zhejiang, 313300, Mainland China",30.589504,119.639084,https://www.ihg.com/hotelindigo/hotels/us/en/anji/hghaj/hoteldetail,false,,CNY,not_available_from_current_official_public_source,0,,,,,"IHG public destination pages expose Check Rates links, but no concrete amount in the page JSON-LD/list source."
IHG Hotels & Resorts,IHG-AOGDT,Holiday Inn Express Anshan Downtown,Holiday Inn Express,MAINLAND_CN,CN,Anshan,"No. 73 North Shengli Road,Lishan District, Anshan, Liaoning, 114000, Mainland China",41.138134,123.016655,https://www.ihg.com/holidayinnexpress/hotels/us/en/anshan/aogdt/hoteldetail,false,,CNY,not_available_from_current_official_public_source,0,,,,,"IHG public destination pages expose Check Rates links, but no concrete amount in the page JSON-LD/list source."
IHG Hotels & Resorts,IHG-BVQBJ,Holiday Inn Express Baoding Downtown,Holiday Inn Express,MAINLAND_CN,CN,Baoding,"No. 2218 Wusidonglu, Jingxiu District, Baoding, Hebei, 071000, Mainland China",38.877106,115.470184,https://www.ihg.com/holidayinnexpress/hotels/us/en/baoding/bvqbj/hoteldetail,false,,CNY,not_available_from_current_official_public_source,0,,,,,"IHG public destination pages expose Check Rates links, but no concrete amount in the page JSON-LD/list source."
IHG Hotels & Resorts,IHG-BVNXA,voco Xiong'An,voco,MAINLAND_CN,CN,Baoding,"No.135, Minglang South Street, Rongdong District, Baoding, Hebei, 071799, Mainland China",39.048218,115.92308,https://www.ihg.com/voco/hotels/us/en/baoding/bvnxa/hoteldetail,false,,CNY,not_available_from_current_official_public_source,0,,,,,"IHG public destination pages expose Check Rates links, but no concrete amount in the page JSON-LD/list source."
IHG Hotels & Resorts,IHG-SIABC,Crowne Plaza Baoji City Center,Crowne Plaza,MAINLAND_CN,CN,Baoji,"No. 66 Jintai Avenue, Jintai District, Baoji, Shaanxi, 721000, Mainland China",34.360092,107.196976,https://www.ihg.com/crowneplaza/hotels/us/en/baoji/siabc/hoteldetail,false,,CNY,not_available_from_current_official_public_source,0,,,,,"IHG public destination pages expose Check Rates links, but no concrete amount in the page JSON-LD/list source."
IHG Hotels & Resorts,IHG-BJASC,Holiday Inn Baoji Central,Holiday Inn,MAINLAND_CN,CN,Baoji,"No. 8 Xingzheng Avenue, Jintai District, Baoji, Shaanxi, 721000, Mainland China",34.36181,107.23041,https://www.ihg.com/holidayinn/hotels/us/en/baoji/bjasc/hoteldetail,false,,CNY,not_available_from_current_official_public_source,0,,,,,"IHG public destination pages expose Check Rates links, but no concrete amount in the page JSON-LD/list source."
IHG Hotels & Resorts,IHG-SIABJ,Holiday Inn Express Baoji City Centre,Holiday Inn Express,MAINLAND_CN,CN,Baoji,"No. 23 Jintai Avenue, Jintai District, Baoji, Shaanxi, 721006, Mainland China",34.359516,107.17739,https://www.ihg.com/holidayinnexpress/hotels/us/en/baoji/siabj/hoteldetail,false,,CNY,not_available_from_current_official_public_source,0,,,,,"IHG public destination pages expose Check Rates links, but no concrete amount in the page JSON-LD/list source."
IHG Hotels & Resorts,IHG-BZXCT,Holiday Inn Express Bazhong Center,Holiday Inn Express,MAINLAND_CN,CN,Bazhong,"Building 2, Wanda Plaza, No. 1, Bazhong, Sichuan, 636099, Mainland China",31.843838,106.77986,https://www.ihg.com/holidayinnexpress/hotels/us/en/bazhong/bzxct/hoteldetail,false,,CNY,not_available_from_current_official_public_source,0,,,,,"IHG public destination pages expose Check Rates links, but no concrete amount in the page JSON-LD/list source."
IHG Hotels & Resorts,IHG-BZXPC,Holiday Inn Express Pingchang,Holiday Inn Express,MAINLAND_CN,CN,Bazhong,"No. 77, Section 5, Jinbao Avenue, Pingchang City, Bazhong, Sichuan, 636400, Mainland China",31.553316,107.078514,https://www.ihg.com/holidayinnexpress/hotels/us/en/bazhong/bzxpc/hoteldetail,false,,CNY,not_available_from_current_official_public_source,0,,,,,"IHG public destination pages expose Check Rates links, but no concrete amount in the page JSON-LD/list source."
IHG Hotels & Resorts,IHG-BHYHI,Crowne Plaza Beihai Silver Beach,Crowne Plaza,MAINLAND_CN,CN,Beihai,"No. 8, Yintan Fourth Road, Yinhai District, Beihai, Guangxi, 536000, Mainland China",21.40606,109.15109,https://www.ihg.com/crowneplaza/hotels/us/en/beihai/bhyhi/hoteldetail,false,,CNY,not_available_from_current_official_public_source,0,,,,,"IHG public destination pages expose Check Rates links, but no concrete amount in the page JSON-LD/list source."
IHG Hotels & Resorts,IHG-BHYSB,Holiday Inn Beihai Silver Beach,Holiday Inn,MAINLAND_CN,CN,Beihai,"Plot B4, East of Binjiang road, Beihai, Guangxi, 536000, Mainland China",21.405008,109.16421,https://www.ihg.com/holidayinn/hotels/us/en/beihai/bhysb/hoteldetail,false,,CNY,not_available_from_current_official_public_source,0,,,,,"IHG public destination pages expose Check Rates links, but no concrete amount in the page JSON-LD/list source."
IHG Hotels & Resorts,IHG-BHYBS,Holiday Inn Express Beihai Silver Beach,Holiday Inn Express,MAINLAND_CN,CN,Beihai,"No. 80 Yintan Thrid Road, Yinhai District, Beihai, Guangxi, 536000, Mainland China",21.404696,109.150856,https://www.ihg.com/holidayinnexpress/hotels/us/en/beihai/bhybs/hoteldetail,false,,CNY,not_available_from_current_official_public_source,0,,,,,"IHG public destination pages expose Check Rates links, but no concrete amount in the page JSON-LD/list source."
IHG Hotels & Resorts,IHG-BHYBR,HUALUXE Beihai Silver Beach Resort,HUALUXE,MAINLAND_CN,CN,Beihai,"No139-1 Yintan Third Road, Beihai, Guangxi, 536000, Mainland China",21.40451,109.16389,https://www.ihg.com/hotels/us/en/beihai/bhybr/hoteldetail,false,,CNY,not_available_from_current_official_public_source,0,,,,,"IHG public destination pages expose Check Rates links, but no concrete amount in the page JSON-LD/list source."
IHG Hotels & Resorts,IHG-BJSBD,Crowne Plaza Beijing Badaling,Crowne Plaza,MAINLAND_CN,CN,Beijing,"Building No. 1- 14, No.1 Guishui North Street, Beijing, Beijing, 102100, Mainland China",40.476437,115.97481,https://www.ihg.com/crowneplaza/hotels/us/en/beijing/bjsbd/hoteldetail,false,,CNY,not_available_from_current_official_public_source,0,,,,,"IHG public destination pages expose Check Rates links, but no concrete amount in the page JSON-LD/list source."
IHG Hotels & Resorts,IHG-PEGUT,Crowne Plaza Beijing Chaoyang U-Town,Crowne Plaza,MAINLAND_CN,CN,Beijing,"No. 3 Sanfeng North Area, Chaoyang District, Beijing, Beijing, 100020, Mainland China",39.922092,116.43907,https://www.ihg.com/crowneplaza/hotels/us/en/beijing/pegut/hoteldetail,false,,CNY,not_available_from_current_official_public_source,0,,,,,"IHG public destination pages expose Check Rates links, but no concrete amount in the page JSON-LD/list source."
IHG Hotels & Resorts,IHG-PEGAP,Crowne Plaza Beijing International Airport,Crowne Plaza,MAINLAND_CN,CN,Beijing,"Capital Airport, #60, Fuqian 1 Street, Tianzhu, Beijing, Beijing, 101312, Mainland China",40.063824,116.55651,https://www.ihg.com/crowneplaza/hotels/us/en/beijing/pegap/hoteldetail,false,,CNY,not_available_from_current_official_public_source,0,,,,,"IHG public destination pages expose Check Rates links, but no concrete amount in the page JSON-LD/list source."
IHG Hotels & Resorts,IHG-PEGCP,Crowne Plaza Beijing Lido,Crowne Plaza,MAINLAND_CN,CN,Beijing,"Building A, No. 6 Jiangtai Road, Chaoyang District, Beijing, Beijing, 100004, Mainland China",39.97845,116.47881,https://www.ihg.com/crowneplaza/hotels/us/en/beijing/pegcp/hoteldetail,false,,CNY,not_available_from_current_official_public_source,0,,,,,"IHG public destination pages expose Check Rates links, but no concrete amount in the page JSON-LD/list source."
IHG Hotels & Resorts,IHG-PEGSP,Crowne Plaza Beijing Sun Palace,Crowne Plaza,MAINLAND_CN,CN,Beijing,"Yunnan Dasha, North-East Corner of Taiyanggong Bridge, Beijing, Beijing, 100028, Mainland China",39.972393,116.43479,https://www.ihg.com/crowneplaza/hotels/us/en/beijing/pegsp/hoteldetail,false,,CNY,not_available_from_current_official_public_source,0,,,,,"IHG public destination pages expose Check Rates links, but no concrete amount in the page JSON-LD/list source."
IHG Hotels & Resorts,IHG-BJSZT,Crowne Plaza Beijing Tongzhou,Crowne Plaza,MAINLAND_CN,CN,Beijing,"No.35 Jingcai Street, Tongzhou District, Beijing, Beijing, 101121, Mainland China",39.862453,116.67207,https://www.ihg.com/crowneplaza/hotels/us/en/beijing/bjszt/hoteldetail,false,,CNY,not_available_from_current_official_public_source,0,,,,,"IHG public destination pages expose Check Rates links, but no concrete amount in the page JSON-LD/list source."
IHG Hotels & Resorts,IHG-PEGZG,Crowne Plaza Beijing Zhongguancun,Crowne Plaza,MAINLAND_CN,CN,Beijing,"No. 106 Zhi Chun Road, Hai Dian District, Beijing, Beijing, 100086, Mainland China",39.975662,116.32304,https://www.ihg.com/crowneplaza/hotels/us/en/beijing/pegzg/hoteldetail,false,,CNY,not_available_from_current_official_public_source,0,,,,,"IHG public destination pages expose Check Rates links, but no concrete amount in the page JSON-LD/list source."
IHG Hotels & Resorts,IHG-BJSAR,Garner Hotel Beijing 798 Art District,Garner Hotel,MAINLAND_CN,CN,Beijing,"Building No. 13, Courtyard No.5, Jiangtai Road, Beijing, Beijing, 100016, Mainland China",39.97211,116.49616,https://www.ihg.com/garner-hotels/hotels/us/en/beijing/bjsar/hoteldetail,false,,CNY,not_available_from_current_official_public_source,0,,,,,"IHG public destination pages expose Check Rates links, but no concrete amount in the page JSON-LD/list source."
IHG Hotels & Resorts,IHG-BJSAZ,Holiday Inn Beijing Airport Zone,Holiday Inn,MAINLAND_CN,CN,Beijing,"No.35 Nanchen Rd, Nan Fa Xin, Shunyi District, Beijing, Beijing, 101300, Mainland China",40.130676,116.6156,https://www.ihg.com/holidayinn/hotels/us/en/beijing/bjsaz/hoteldetail,false,,CNY,not_available_from_current_official_public_source,0,,,,,"IHG public destination pages expose Check Rates links, but no concrete amount in the page JSON-LD/list source."
IHG Hotels & Resorts,IHG-PEGCA,Holiday Inn Beijing ChangAn West,Holiday Inn,MAINLAND_CN,CN,Beijing,"No.66,Yongding Road, Haidian District, Beijing, Beijing, 100039, Mainland China",39.909267,116.26522,https://www.ihg.com/holidayinn/hotels/us/en/beijing/pegca/hoteldetail,false,,CNY,not_available_from_current_official_public_source,0,,,,,"IHG public destination pages expose Check Rates links, but no concrete amount in the page JSON-LD/list source."
IHG Hotels & Resorts,IHG-BJSDX,Holiday Inn Beijing Daxing Centre,Holiday Inn,MAINLAND_CN,CN,Beijing,"Building 1, No.2 Shuanghe Beili Erxiang, Beijing, Beijing, 102699, Mainland China",39.7419,116.3492,https://www.ihg.com/holidayinn/hotels/us/en/beijing/bjsdx/hoteldetail,false,,CNY,not_available_from_current_official_public_source,0,,,,,"IHG public destination pages expose Check Rates links, but no concrete amount in the page JSON-LD/list source."
IHG Hotels & Resorts,IHG-BJSDM,Holiday Inn Beijing Daxing Movie Park,Holiday Inn,MAINLAND_CN,CN,Beijing,"2 Beixing Road, Beijing, Beijing, 100162, Mainland China",39.7726,116.36447,https://www.ihg.com/holidayinn/hotels/us/en/beijing/bjsdm/hoteldetail,false,,CNY,not_available_from_current_official_public_source,0,,,,,"IHG public destination pages expose Check Rates links, but no concrete amount in the page JSON-LD/list source."
IHG Hotels & Resorts,IHG-PEGSM,Holiday Inn Beijing Deshengmen,Holiday Inn,MAINLAND_CN,CN,Beijing,"No.71 Deshengmenwai Street, Xicheng District, Beijing, Beijing, 100088, Mainland China",39.957478,116.378685,https://www.ihg.com/holidayinn/hotels/us/en/beijing/pegsm/hoteldetail,false,,CNY,not_available_from_current_official_public_source,0,,,,,"IHG public destination pages expose Check Rates links, but no concrete amount in the page JSON-LD/list source."
IHG Hotels & Resorts,IHG-PEGFD,Holiday Inn Beijing Focus Square,Holiday Inn,MAINLAND_CN,CN,Beijing,"Building 3, No.6 Futong East Avenue, Chaoyang District, Beijing, Beijing, 100102, Mainland China",39.989685,116.48099,https://www.ihg.com/holidayinn/hotels/us/en/beijing/pegfd/hoteldetail,false,,CNY,not_available_from_current_official_public_source,0,,,,,"IHG public destination pages expose Check Rates links, but no concrete amount in the page JSON-LD/list source."
IHG Hotels & Resorts,IHG-BJSBM,Holiday Inn Beijing Mentougou,Holiday Inn,MAINLAND_CN,CN,Beijing,"No. 31 Xinqiao Avenue, Mentougou District, Beijing, Beijing, Mainland China",39.942616,116.09946,https://www.ihg.com/holidayinn/hotels/us/en/beijing/bjsbm/hoteldetail,false,,CNY,not_available_from_current_official_public_source,0,,,,,"IHG public destination pages expose Check Rates links, but no concrete amount in the page JSON-LD/list source."
IHG Hotels & Resorts,IHG-PEGPK,Holiday Inn Beijing Shijingshan Parkview,Holiday Inn,MAINLAND_CN,CN,Beijing,"No.555, Tiancun Road, Shijingshan District, Beijing, Beijing, 100049, Mainland China",39.93876,116.215096,https://www.ihg.com/holidayinn/hotels/us/en/beijing/pegpk/hoteldetail,false,,CNY,not_available_from_current_official_public_source,0,,,,,"IHG public destination pages expose Check Rates links, but no concrete amount in the page JSON-LD/list source."
IHG Hotels & Resorts,IHG-PEGTH,Holiday Inn Beijing Temple Of Heaven,Holiday Inn,MAINLAND_CN,CN,Beijing,"No. 1 Ding An Dong Li, 3rd South Ring Road, Beijing, Beijing, 100075, Mainland China",39.861446,116.4146,https://www.ihg.com/holidayinn/hotels/us/en/beijing/pegth/hoteldetail,false,,CNY,not_available_from_current_official_public_source,0,,,,,"IHG public destination pages expose Check Rates links, but no concrete amount in the page JSON-LD/list source."
IHG Hotels & Resorts,IHG-BJSES,Holiday Inn Express Beijing Airport Zone,Holiday Inn Express,MAINLAND_CN,CN,Beijing,"1 Building, No.6 Court Jingshun East Road, Beijing, Beijing, 100015, Mainland China",40.023106,116.5281,https://www.ihg.com/holidayinnexpress/hotels/us/en/beijing/bjses/hoteldetail,false,,CNY,not_available_from_current_official_public_source,0,,,,,"IHG public destination pages expose Check Rates links, but no concrete amount in the page JSON-LD/list source."
IHG Hotels & Resorts,IHG-BJSCA,Holiday Inn Express Beijing Capital Airport East,Holiday Inn Express,MAINLAND_CN,CN,Beijing,"Shunxi South Road, Shunyi District, Beijing, Beijing, Mainland China",40.116653,116.640236,https://www.ihg.com/holidayinnexpress/hotels/us/en/beijing/bjsca/hoteldetail,false,,CNY,not_available_from_current_official_public_source,0,,,,,"IHG public destination pages expose Check Rates links, but no concrete amount in the page JSON-LD/list source."
IHG Hotels & Resorts,IHG-BJSCC,Holiday Inn Express Beijing Conference Center,Holiday Inn Express,MAINLAND_CN,CN,Beijing,"North Gujiazhuang Bridge, Beiyuan Middle Road, Beijing, Beijing, 100010, Mainland China",40.02822,116.43986,https://www.ihg.com/holidayinnexpress/hotels/us/en/beijing/bjscc/hoteldetail,false,,CNY,not_available_from_current_official_public_source,0,,,,,"IHG public destination pages expose Check Rates links, but no concrete amount in the page JSON-LD/list source."
IHG Hotels & Resorts,IHG-PEGDZ,Holiday Inn Express Beijing Dongzhimen,Holiday Inn Express,MAINLAND_CN,CN,Beijing,"No. 1 ChunXiu Road, DongCheng District, Beijing, Beijing, 100027, Mainland China",39.936913,116.44329,https://www.ihg.com/holidayinnexpress/hotels/us/en/beijing/pegdz/hoteldetail,false,,CNY,not_available_from_current_official_public_source,0,,,,,"IHG public destination pages expose Check Rates links, but no concrete amount in the page JSON-LD/list source."
IHG Hotels & Resorts,IHG-BJSDN,Holiday Inn Express Beijing Downtown,Holiday Inn Express,MAINLAND_CN,CN,Beijing,"No.18 Lishi Hutong, Dongcheng District, Beijing, Beijing, 100010, Mainland China",39.92171,116.424385,https://www.ihg.com/holidayinnexpress/hotels/us/en/beijing/bjsdn/hoteldetail,false,,CNY,not_available_from_current_official_public_source,0,,,,,"IHG public destination pages expose Check Rates links, but no concrete amount in the page JSON-LD/list source."
IHG Hotels & Resorts,IHG-BJSGC,Holiday Inn Express Beijing Guomao CBD,Holiday Inn Express,MAINLAND_CN,CN,Beijing,"No 8 Guanghua Rd Jia, Chaoyang District, Beijing, Beijing, 100300, Mainland China",39.911957,116.47142,https://www.ihg.com/holidayinnexpress/hotels/us/en/beijing/bjsgc/hoteldetail,false,,CNY,not_available_from_current_official_public_source,0,,,,,"IHG public destination pages expose Check Rates links, but no concrete amount in the page JSON-LD/list source."
IHG Hotels & Resorts,IHG-BJSHS,Holiday Inn Express Beijing Haidian Suzhouqiao,Holiday Inn Express,MAINLAND_CN,CN,Beijing,"11 Changchun Bridge Road, Beijing, Beijing, 100080, Mainland China",39.960808,116.30265,https://www.ihg.com/holidayinnexpress/hotels/us/en/beijing/bjshs/hoteldetail,false,,CNY,not_available_from_current_official_public_source,0,,,,,"IHG public destination pages expose Check Rates links, but no concrete amount in the page JSON-LD/list source."
IHG Hotels & Resorts,IHG-BJSLB,Holiday Inn Express Beijing Lize Business District,Holiday Inn Express,MAINLAND_CN,CN,Beijing,"Tower A, No.118 Weiqiangxiao Village, Fengtai District, Beijing, Beijing, 100070, Mainland China",39.874783,116.327805,https://www.ihg.com/holidayinnexpress/hotels/us/en/beijing/bjslb/hoteldetail,false,,CNY,not_available_from_current_official_public_source,0,,,,,"IHG public destination pages expose Check Rates links, but no concrete amount in the page JSON-LD/list source."
IHG Hotels & Resorts,IHG-BJSMG,Holiday Inn Express Beijing Mentougou,Holiday Inn Express,MAINLAND_CN,CN,Beijing,"Building 3, Courtyard 10, Yinsheng North Road, Beijing, Beijing, 102300, Mainland China",39.912376,116.13592,https://www.ihg.com/holidayinnexpress/hotels/us/en/beijing/bjsmg/hoteldetail,false,,CNY,not_available_from_current_official_public_source,0,,,,,"IHG public destination pages expose Check Rates links, but no concrete amount in the page JSON-LD/list source."
IHG Hotels & Resorts,IHG-PEKLV,Holiday Inn Express Beijing Shijingshan Lakeview,Holiday Inn Express,MAINLAND_CN,CN,Beijing,"68 Shijingshan Road,Shijingshan District,Beijing, Beijing, Beijing, 100041, Mainland China",39.917168,116.15204,https://www.ihg.com/holidayinnexpress/hotels/us/en/beijing/peklv/hoteldetail,false,,CNY,not_available_from_current_official_public_source,0,,,,,"IHG public destination pages expose Check Rates links, but no concrete amount in the page JSON-LD/list source."
IHG Hotels & Resorts,IHG-PEKSH,Holiday Inn Express Beijing Shijingshan Parkview,Holiday Inn Express,MAINLAND_CN,CN,Beijing,"No. 68 Shijingshan Road, Shijingshan District, Beijing, Beijing, Beijing, 100043, Mainland China",39.922623,116.15557,https://www.ihg.com/holidayinnexpress/hotels/us/en/beijing/peksh/hoteldetail,false,,CNY,not_available_from_current_official_public_source,0,,,,,"IHG public destination pages expose Check Rates links, but no concrete amount in the page JSON-LD/list source."
IHG Hotels & Resorts,IHG-PEGDR,Holiday Inn Express Beijing Temple of Heaven,Holiday Inn Express,MAINLAND_CN,CN,Beijing,"No.36 Nanwei Road, Xicheng District, Beijing, Beijing, 100050, Mainland China",39.88031,116.390976,https://www.ihg.com/holidayinnexpress/hotels/us/en/beijing/pegdr/hoteldetail,false,,CNY,not_available_from_current_official_public_source,0,,,,,"IHG public destination pages expose Check Rates links, but no concrete amount in the page JSON-LD/list source."
IHG Hotels & Resorts,IHG-BJSBT,Holiday Inn Express Beijing Tongzhou,Holiday Inn Express,MAINLAND_CN,CN,Beijing,"No.102 South Wansheng Street, Tongzhou District, Beijing, Beijing, 101121, Mainland China",39.862526,116.6332,https://www.ihg.com/holidayinnexpress/hotels/us/en/beijing/bjsbt/hoteldetail,false,,CNY,not_available_from_current_official_public_source,0,,,,,"IHG public destination pages expose Check Rates links, but no concrete amount in the page JSON-LD/list source."
IHG Hotels & Resorts,IHG-PEGGS,Holiday Inn Express Beijing Wangjing Center,Holiday Inn Express,MAINLAND_CN,CN,Beijing,"No. 16 Guangshun North Street, Wangjing, Chaoyang Distr, Beijing, Beijing, 100102, Mainland China",40.010834,116.468895,https://www.ihg.com/holidayinnexpress/hotels/us/en/beijing/peggs/hoteldetail,false,,CNY,not_available_from_current_official_public_source,0,,,,,"IHG public destination pages expose Check Rates links, but no concrete amount in the page JSON-LD/list source."
IHG Hotels & Resorts,IHG-BJSBY,Holiday Inn Express Beijing Yizhuang,Holiday Inn Express,MAINLAND_CN,CN,Beijing,"No.1 Bld, No.10 Courtyard, Ronghua South Rd, Beijing, Beijing, 100176, Mainland China",39.78909,116.51425,https://www.ihg.com/holidayinnexpress/hotels/us/en/beijing/bjsby/hoteldetail,false,,CNY,not_available_from_current_official_public_source,0,,,,,"IHG public destination pages expose Check Rates links, but no concrete amount in the page JSON-LD/list source."
IHG Hotels & Resorts,IHG-BJSLY,Holiday Inn Express Beijing Yizhuang Center,Holiday Inn Express,MAINLAND_CN,CN,Beijing,"Sili Sanqu, Taihe garden, Liangshuihe 2nd Street, Beijing, Beijing, 100176, Mainland China",39.764854,116.50837,https://www.ihg.com/holidayinnexpress/hotels/us/en/beijing/bjsly/hoteldetail,false,,CNY,not_available_from_current_official_public_source,0,,,,,"IHG public destination pages expose Check Rates links, but no concrete amount in the page JSON-LD/list source."
IHG Hotels & Resorts,IHG-PEKYE,Holiday Inn Express Beijing Yizhuang Tongminghu,Holiday Inn Express,MAINLAND_CN,CN,Beijing,"No.2 Building, No.8 Courty, Kegu First Road, Beijing, Beijing, 100176, Mainland China",39.787846,116.57727,https://www.ihg.com/holidayinnexpress/hotels/us/en/beijing/pekye/hoteldetail,false,,CNY,not_available_from_current_official_public_source,0,,,,,"IHG public destination pages expose Check Rates links, but no concrete amount in the page JSON-LD/list source."
